TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487663.000000  30.5100281207  114.3560548500  39.5292597115  -2268150.8368608258  5010321.9381654225  3219232.4616305432    1.4069    4.2142    5.9291  
487664.000000  30.5100281505  114.3560548232  39.5471699592  -2268150.8401848809  5010321.9517575875  3219232.4735693494    1.4068    4.2185    5.9346  
487665.000000  30.5100281662  114.3560548029  39.5492522120  -2268150.8387895492  5010321.9533879589  3219232.4761268236    1.4067    4.2130    5.9263  
487666.000000  30.5100281466  114.3560548137  39.5553624872  -2268150.8423576360  5010321.9587618122  3219232.4773574560    1.4065    4.2161    5.9301  
487667.000000  30.5100280892  114.3560547566  39.5714559387  -2268150.8444134337  5010321.9765992267  3219232.4800423323    1.4064    4.2122    5.9240  
487668.000000  30.5100281439  114.3560548040  39.5835485533  -2268150.8515888727  5010321.9814108135  3219232.4914010791    1.4062    4.2126    5.9239  
487669.000000  30.5100281333  114.3560548209  39.5945711080  -2268150.8572254279  5010321.9899367578  3219232.4959868779    1.4061    4.2112    5.9213  
487670.000000  30.5100281022  114.3560548302  39.5928275380  -2268150.8581397249  5010321.9897954445  3219232.4921311503    1.4060    4.2056    5.9130  
487671.000000  30.5100281206  114.3560548338  39.6098071514  -2268150.8640604932  5010322.0020368798  3219232.5025077425    1.4058    4.2064    5.9135  
487672.000000  30.5100280626  114.3560548859  39.6125539867  -2268150.8709401572  5010322.0051039997  3219232.4983618828    1.4057    4.2032    5.9084  
487673.000000  30.5100280908  114.3560549033  39.6220401395  -2268150.8751738630  5010322.0104144905  3219232.5058741346    1.4055    4.2016    5.9056  
487674.000000  30.5100281296  114.3560549407  39.6461987793  -2268150.8861333341  5010322.0258998759  3219232.5218500113    1.4054    4.2042    5.9086  
487675.000000  30.5100280831  114.3560549679  39.6506558955  -2268150.8911674949  5010322.0307079181  3219232.5196730923    1.4053    4.1992    5.9010  
487676.000000  30.5100280839  114.3560549807  39.6615470806  -2268150.8961386178  5010322.0387093518  3219232.5252767005    1.4051    4.1969    5.8972  
487677.000000  30.5100280688  114.3560550309  39.6662509041  -2268150.9025529060  5010322.0411910433  3219232.5262162737    1.4050    4.1946    5.8933  
487678.000000  30.5100280743  114.3560550727  39.6797624594  -2268150.9108855817  5010322.0498573268  3219232.5336008524    1.4049    4.1944    5.8925  
